Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file USER32.DLL

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    2C90DD33 time date stamp Fri Sep 10 16:01:55 1993
        0.00 version
           1 ordinal base
         582 number of functions
         582 number of names

    ordinal hint RVA      name

        147   92 00024E46 DlgDirSelectComboBoxExW
        148   93 00026176 DlgDirSelectExA
        149   94 00024C86 DlgDirSelectExW
        150   95 000276E6 DoLastErrorExcept
        151   96 000245E6 DragDetect
        152   97 00020CE6 DragObject
        153   98 0000C1E6 DrawFocusRect
        154   99 0000BC86 DrawFrame
        155   9A 0000FCD6 DrawIcon
        156   9B 0000CCD6 DrawMenuBar
        157   9C 00009FC6 DrawTextA
        158   9D 00009C56 DrawTextW
        159   9E 000090B6 EditWndProc
        160   9F 00010836 EmptyClipboard
        161   A0 0000B7B6 EnableMenuItem
        162   A1 00021DF6 EnableScrollBar
        163   A2 00008596 EnableWindow
        164   A3 0000BC16 EndDeferWindowPos
        165   A4 000148C6 EndDialog
        166   A5 00022296 EndMenu
        167   A6 000060F6 EndPaint
        168   A7 0001B946 EndTask
        169   A8 0001CA46 EnumChildWindows
        170   A9 00021C56 EnumClipboardFormats
        171   AA 00026B36 EnumDisplayDeviceModesA
        172   AB 00025D36 EnumDisplayDeviceModesW
        173   AC 00026A26 EnumDisplayDevicesA
        174   AD 00025C46 EnumDisplayDevicesW
        175   AE 0001CA66 EnumPropsA
        176   AF 0001CAA6 EnumPropsExA
        177   B0 0001CAC6 EnumPropsExW
        178   B1 0001CA86 EnumPropsW
        179   B2 00018966 EnumThreadWindows
        180   B3 00017D36 EnumWindows
        181   B4 00005FE6 EqualRect
        182   B5 0000E006 ExcludeUpdateRgn
        183   B6 00020C96 ExitWindowsEx
        184   B7 0000D5D6 FChildVisible
        185   B8 000069A6 FillRect
        186   B9 00006BB6 FindNCHit
        187   BA 00017706 FindWindowA
        188   BB 00024F26 FindWindowW
        189   BC 00021F76 FlashWindow
        190   BD 0000C0D6 FrameRect
        191   BE 00019116 FreeDDEData
        192   BF 000190D6 FreeDDElParam
        193   C0 0000A926 GetActiveWindow
        194   C1 00006846 GetAppCompatFlags
        195   C2 00007B46 GetAsyncKeyState
        196   C3 0000A656 GetCapture
        197   C4 0000F1D6 GetCaretBlinkTime
        198   C5 0001B0D6 GetCaretPos
        199   C6 00011C76 GetClassInfoA
        200   C7 00013C66 GetClassInfoW
        201   C8 0001B306 GetClassLongA
        202   C9 0001DCB6 GetClassLongW
        203   CA 0000A7F6 GetClassNameA
        204   CB 0002F356 GetClassNameW
        205   CC 0000B986 GetClassWOWWords
        206   CD 00021FC6 GetClassWord
        207   CE 00005986 GetClientRect
        208   CF 00021D56 GetClipCursor
        209   D0 0001CD06 GetClipboardData
        210   D1 000264F6 GetClipboardFormatNameA
        211   D2 000250D6 GetClipboardFormatNameW
        212   D3 00014BF6 GetClipboardOwner
        213   D4 00022016 GetClipboardViewer
        214   D5 0002F436 GetCursor
        215   D6 00023296 GetCursorInfo
        216   D7 000088B6 GetCursorPos
        217   D8 000049D6 GetDC
        218   D9 0001CFB6 GetDCEx
        219   DA 00013E46 GetDesktopWindow
        220   DB 00022056 GetDialogBaseUnits
        221   DC 000192B6 GetDlgCtrlID
        222   DD 00008BF6 GetDlgItem
        223   DE 00022096 GetDlgItemInt
        224   DF 00015236 GetDlgItemTextA
        225   E0 0001B216 GetDlgItemTextW
        226   E1 00022106 GetDoubleClickTime
        227   E2 00007C06 GetFocus
        228   E3 00021776 GetForegroundWindow
        229   E4 00013016 GetFullUserHandle
        230   E5 00012ED6 GetIconInfo
        231   E6 00022146 GetInputDesktop
        232   E7 0000A616 GetInputState
        233   E8 0001B6C6 GetInternalWindowPos
        234   E9 00022186 GetKBCodePage
        235   EA 00013D96 GetKeyNameTextA
        236   EB 000251B6 GetKeyNameTextW
        237   EC 00007A86 GetKeyState
        238   ED 00026656 GetKeyboardLayoutNameA
        239   EE 00025606 GetKeyboardLayoutNameW
        240   EF 000221C6 GetKeyboardState
        241   F0 00022246 GetKeyboardType
        242   F1 0001B546 GetLastActivePopup
        243   F2 0000D566 GetMenu
        244   F3 000222D6 GetMenuCheckMarkDimensions
        245   F4 00013416 GetMenuIndex
        246   F5 00008B56 GetMenuItemCount
        247   F6 0000A886 GetMenuItemID
        248   F7 0000A426 GetMenuState
        249   F8 0000DD96 GetMenuStringA
        250   F9 00025296 GetMenuStringW
        251   FA 00004996 GetMessageA
        252   FB 00021296 GetMessageExtraInfo
        253   FC 00022316 GetMessagePos
        254   FD 00022356 GetMessageTime
        255   FE 000045A6 GetMessageW
        256   FF 00022396 GetNextDlgGroupItem
        257  100 000223F6 GetNextDlgTabItem
        258  101 00024646 GetNextQueueWindow
        259  102 00021DB6 GetOpenClipboardWindow
        260  103 00006A06 GetParent
        261  104 00007046 GetPrefixCount
        262  105 00022456 GetPriorityClipboardFormat
        263  106 000224E6 GetProcessWindowStation
        264  107 0001B196 GetPropA
        265  108 00011AC6 GetPropW
        266  109 00022526 GetQueueStatus
        267  10A 0000DAB6 GetScrollPos
        268  10B 0000CD26 GetScrollRange
        269  10C 00008FE6 GetSubMenu
        270  10D 000065B6 GetSysColor
        271  10E 0000A026 GetSystemMenu
        272  10F 00006746 GetSystemMetrics
        273  110 00014C96 GetTabbedTextExtentA
        274  111 000253A6 GetTabbedTextExtentW
        275  112 00022576 GetThreadDesktop
        276  113 00009B16 GetTopWindow
        277  114 00008426 GetUpdateRect
        278  115 0000BDD6 GetUpdateRgn
        279  116 0001D656 GetUserObjectSecurity
        280  117 0002F296 GetWOWAppCompatFlags
        281  118 00007756 GetWindow
        282  119 0001CFF6 GetWindowDC
        283  11A 00004466 GetWindowLongA
        284  11B 00007A16 GetWindowLongW
        285  11C 000188A6 GetWindowPlacement
        286  11D 00006FF6 GetWindowRect
        287  11E 00008226 GetWindowTextA
        288  11F 000265A6 GetWindowTextLengthA
        289  120 00015D66 GetWindowTextLengthW
        290  121 00015126 GetWindowTextW
        291  122 0001B136 GetWindowThreadProcessId
        292  123 00007E86 GetWindowWord
        293  124 0001D466 GrayStringA
        294  125 0001D1C6 GrayStringW
        295  126 00004E16 HMValidateHandle
        296  127 00004946 HMValidateHandleNoRip
        297  128 000074D6 HideCaret
        298  129 000225C6 HiliteMenuItem
        299  12A 00024886 ImpersonateDdeClientWindow
        300  12B 00022636 InSendMessage
        301  12C 0002CC46 IncGlobalAtomCount
        302  12D 00005D56 InflateRect
        303  12E 00015DB6 InitTask
        304  12F 000163A6 InsertMenuA
        305  130 000254C6 InsertMenuW
        306  131 0001B606 InternalGetWindowText
        307  132 000041E6 IntersectRect
        308  133 00006536 InvalidateRect
        309  134 00014BC6 InvalidateRgn
        310  135 0001E706 InvertRect
