Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file GDI32.DLL

File Type: DLL

  Section contains the following exports for GDI32.dll

    00000000 characteristics
    2C51B579 time date stamp Sat Jul 24 18:19:37 1993
        0.00 version
           1 ordinal base
         337 number of functions
         337 number of names

    ordinal hint RVA      name

        146   91 0000B856 GetCharABCWidthsW
        147   92 0001AC76 GetCharWidth32A
        148   93 0001ACF6 GetCharWidth32W
        149   94 0000DCB6 GetCharWidthA
        150   95 0001ACA6 GetCharWidthFloatA
        151   96 0001ACD6 GetCharWidthFloatW
        152   97 00011DB6 GetCharWidthW
        153   98 0001AC46 GetCharWidthWOW
        154   99 00007716 GetClipBox
        155   9A 00017956 GetClipRgn
        156   9B 0001BDB6 GetColorAdjustment
        157   9C 00029D06 GetCurrentObject
        158   9D 00011A06 GetCurrentPositionEx
        159   9E 0000D616 GetDCOrgEx
        160   9F 00017EE6 GetDIBits
        161   A0 000089B6 GetDeviceCaps
        162   A1 0001DC96 GetEnhMetaFileA
        163   A2 0001E9A6 GetEnhMetaFileBits
        164   A3 0001F0E6 GetEnhMetaFileDescriptionA
        165   A4 0001F106 GetEnhMetaFileDescriptionW
        166   A5 0001F086 GetEnhMetaFileHeader
        167   A6 0001F026 GetEnhMetaFilePaletteEntries
        168   A7 0001DCF6 GetEnhMetaFileW
        169   A8 0001BA16 GetFontData
        170   A9 0001C1E6 GetFontResourceInfo
        171   AA 00001410 GetGlyphOutline
        172   AB 00001410 GetGlyphOutlineA
        173   AC 00001100 GetGlyphOutlineW
        174   AD 0001D006 GetGraphicsMode
        175   AE 00001460 GetKerningPairs
        176   AF 00001460 GetKerningPairsA
        177   B0 00014386 GetKerningPairsW
        178   B1 0000E9F6 GetMapMode
        179   B2 000238C6 GetMetaFileA
        180   B3 00028C56 GetMetaFileBitsEx
        181   B4 00023926 GetMetaFileW
        182   B5 0002A5A6 GetMetaRgn
        183   B6 0001A606 GetMiterLimit
        184   B7 000083C6 GetNearestColor
        185   B8 00029F86 GetNearestPaletteIndex
        186   B9 00009296 GetObjectA
        187   BA 00007846 GetObjectType
        188   BB 000109D6 GetObjectW
        189   BC 0001BC36 GetOutlineTextMetricsA
        190   BD 0001BC56 GetOutlineTextMetricsW
        191   BE 00014366 GetOutlineTextMetricsWOW
        192   BF 0002E376 GetPaletteEntries
        193   C0 0002F516 GetPath
        194   C1 00013956 GetPixel
        195   C2 0001D0C6 GetPolyFillMode
        196   C3 0001D066 GetROP2
        197   C4 00017976 GetRandomRgn
        198   C5 0001CA56 GetRasterizerCaps
        199   C6 0002A5C6 GetRegionData
        200   C7 0001D246 GetRelAbs
        201   C8 0000B786 GetRgnBox
        202   C9 0000B116 GetStockObject
        203   CA 0001D126 GetStretchBltMode
        204   CB 0002E3B6 GetSystemPaletteEntries
        205   CC 0001A706 GetSystemPaletteUse
        206   CD 0001D186 GetTextAlign
        207   CE 0001D1E6 GetTextCharacterExtra
        208   CF 00008026 GetTextColor
        209   D0 0001AF66 GetTextExtentExPointA
        210   D1 0001B336 GetTextExtentExPointW
        211   D2 0000B496 GetTextExtentPoint32A
        212   D3 0001AD16 GetTextExtentPoint32W
        213   D4 00007526 GetTextExtentPointA
        214   D5 0000F3A6 GetTextExtentPointW
        215   D6 0000AEB6 GetTextFaceA
        216   D7 0001AD36 GetTextFaceW
        217   D8 00007D26 GetTextMetricsA
        218   D9 00011116 GetTextMetricsW
        219   DA 0001AA86 GetTextMetricsWOW
        220   DB 0001A976 GetTransform
        221   DC 00014F76 GetViewportExtEx
        222   DD 0001A516 GetViewportOrgEx
        223   DE 0001EA06 GetWinMetaFileBits
        224   DF 00015016 GetWindowExtEx
        225   E0 0000E7F6 GetWindowOrgEx
        226   E1 0001A916 GetWorldTransform
        227   E2 00004A96 IntersectClipRect
        228   E3 0000D306 InvertRgn
        229   E4 0000C256 LPtoDP
        230   E5 0001D2A6 LineDDA
        231   E6 00009B76 LineTo
        232   E7 0002BD16 MaskBlt
        233   E8 00019806 ModifyWorldTransform
        234   E9 000098D6 MoveToEx
        235   EA 00018C66 OffsetClipRgn
        236   EB 0002A2A6 OffsetRgn
        237   EC 00019596 OffsetViewportOrgEx
        238   ED 00019686 OffsetWindowOrgEx
        239   EE 0002C2E6 PaintRgn
        240   EF 000047F6 PatBlt
        241   F0 0002F3C6 PathToRegion
        242   F1 00012BE6 Pie
        243   F2 0001DD56 PlayEnhMetaFile
        244   F3 0001E6A6 PlayEnhMetaFileRecord
        245   F4 000152E6 PlayMetaFile
        246   F5 000157A6 PlayMetaFileRecord
        247   F6 0002B9B6 PlgBlt
        248   F7 0002F8C6 PolyBezier
        249   F8 0002FAE6 PolyBezierTo
        250   F9 0002FD36 PolyDraw
        251   FA 0002F7A6 PolyPolygon
        252   FB 00010C86 PolyPolyline
        253   FC 0002C9F6 PolyTextOutA
        254   FD 0002C556 PolyTextOutW
        255   FE 00011436 Polygon
        256   FF 00005876 Polyline
