Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file RPCRT4.DLL

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    2C7AC161 time date stamp Tue Aug 24 21:33:21 1993
        0.00 version
           1 ordinal base
         139 number of functions
         139 number of names

    ordinal hint RVA      name

        131   82 00005BA0 long_array_from_ndr
        132   83 00005B40 long_from_ndr
        133   84 00005C40 long_from_ndr_temp
        134   85 00005A80 short_array_from_ndr
        135   86 00005A30 short_from_ndr
        136   87 00005B00 short_from_ndr_temp
        137   88 00004C80 tree_into_ndr
        138   89 000056F0 tree_peek_ndr
        139   8A 00005420 tree_size_ndr

  Summary

        1000 .bss
        3000 .data
        2000 .edata
        1000 .idata
        1000 .rdata
        3000 .reloc
        1000 .rsrc
       19000 .text
