Microsoft (R) COFF/PE Dumper Version 14.30.30706.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file ADVAPI32.DLL

File Type: DLL

  Section contains the following exports for ADVAPI32.dll

    00000000 characteristics
    2C4450ED time date stamp Wed Jul 14 14:31:09 1993
        0.00 version
           1 ordinal base
         279 number of functions
         279 number of names

    ordinal hint RVA      name

        138   89 00010590 LsaQuerySecurityObject
        139   8A 000112A0 LsaRemovePrivilegesFromAccount
        140   8B 000100A0 LsaSetInformationPolicy
        141   8C 00010AE0 LsaSetInformationTrustedDomain
        142   8D 000113E0 LsaSetQuotasForAccount
        143   8E 00011710 LsaSetSecret
        144   8F 00010660 LsaSetSecurityObject
        145   90 00011520 LsaSetSystemAccessAccount
        146   91 00002A80 MakeAbsoluteSD
        147   92 00002A50 MakeSelfRelativeSD
        148   93 000024A0 MapGenericMask
        149   94 0000C5E0 NotifyBootConfigStatus
        150   95 00002110 ObjectCloseAuditAlarmA
        151   96 00002170 ObjectCloseAuditAlarmW
        152   97 00001E80 ObjectOpenAuditAlarmA
        153   98 00001FB0 ObjectOpenAuditAlarmW
        154   99 00002040 ObjectPrivilegeAuditAlarmA
        155   9A 000020B0 ObjectPrivilegeAuditAlarmW
        156   9B 00001760 OpenBackupEventLogA
        157   9C 000013B0 OpenBackupEventLogW
        158   9D 000016A0 OpenEventLogA
        159   9E 000012F0 OpenEventLogW
        160   9F 00001AF0 OpenProcessToken
        161   A0 0000B040 OpenSCManagerA
        162   A1 0000ABF0 OpenSCManagerW
        163   A2 0000B100 OpenServiceA
        164   A3 0000AAA0 OpenServiceW
        165   A4 00001B20 OpenThreadToken
        166   A5 00001C40 PrivilegeCheck
        167   A6 000021C0 PrivilegedServiceAuditAlarmA
        168   A7 00002270 PrivilegedServiceAuditAlarmW
        169   A8 0000C1F0 QueryServiceConfigA
        170   A9 0000C2D0 QueryServiceConfigW
        171   AA 0000C3C0 QueryServiceLockStatusA
        172   AB 0000C480 QueryServiceLockStatusW
        173   AC 0000B360 QueryServiceObjectSecurity
        174   AD 0000ACB0 QueryServiceStatus
        175   AE 000044A0 QueryWindows31FilesMigration
        176   AF 00001830 ReadEventLogA
        177   B0 00001440 ReadEventLogW
        178   B1 0001A1D0 RegCloseKey
        179   B2 00020220 RegConnectRegistryA
        180   B3 000201A0 RegConnectRegistryW
        181   B4 0001A260 RegCreateKeyA
        182   B5 0001A330 RegCreateKeyExA
        183   B6 0001A500 RegCreateKeyExW
        184   B7 0001A2F0 RegCreateKeyW
        185   B8 00020290 RegDeleteKeyA
        186   B9 00020340 RegDeleteKeyW
        187   BA 00020470 RegDeleteValueA
        188   BB 00020520 RegDeleteValueW
        189   BC 000205F0 RegEnumKeyA
        190   BD 00020670 RegEnumKeyExA
        191   BE 00020810 RegEnumKeyExW
        192   BF 00020630 RegEnumKeyW
        193   C0 00020C00 RegEnumValueA
        194   C1 00020F10 RegEnumValueW
        195   C2 0001A6E0 RegFlushKey
        196   C3 000212E0 RegGetKeySecurity
        197   C4 00021FD0 RegLoadKeyA
        198   C5 000220F0 RegLoadKeyW
        199   C6 000219F0 RegNotifyChangeKeyValue
        200   C7 0001A720 RegOpenKeyA
        201   C8 0001A840 RegOpenKeyExA
        202   C9 0001A9C0 RegOpenKeyExW
        203   CA 0001A7B0 RegOpenKeyW
        204   CB 000229D0 RegQueryInfoKeyA
        205   CC 00022B40 RegQueryInfoKeyW
        206   CD 00022ED0 RegQueryValueA
        207   CE 00023070 RegQueryValueExA
        208   CF 00023340 RegQueryValueExW
        209   D0 00022FA0 RegQueryValueW
        210   D1 000222F0 RegReplaceKeyA
        211   D2 00022480 RegReplaceKeyW
        212   D3 00023630 RegRestoreKeyA
        213   D4 000236F0 RegRestoreKeyW
        214   D5 00023780 RegSaveKeyA
        215   D6 00023860 RegSaveKeyW
        216   D7 00021420 RegSetKeySecurity
        217   D8 00023BF0 RegSetValueA
        218   D9 00023DA0 RegSetValueExA
        219   DA 00023F40 RegSetValueExW
        220   DB 00023CC0 RegSetValueW
        221   DC 000221A0 RegUnLoadKeyA
        222   DD 00022260 RegUnLoadKeyW
        223   DE 00001700 RegisterEventSourceA
        224   DF 00001350 RegisterEventSourceW
        225   E0 000245E0 RegisterServiceCtrlHandlerA
        226   E1 00024520 RegisterServiceCtrlHandlerW
        227   E2 00001870 ReportEventA
        228   E3 00001480 ReportEventW
        229   E4 00002F60 RevertToSelf
        230   E5 00002540 SetAclInformation
        231   E6 00002C80 SetFileSecurityA
        232   E7 00002B50 SetFileSecurityW
        233   E8 00002E70 SetKernelObjectSecurity
        234   E9 000029A0 SetPrivateObjectSecurity
        235   EA 00002760 SetSecurityDescriptorDacl
        236   EB 000028F0 SetSecurityDescriptorGroup
        237   EC 00002880 SetSecurityDescriptorOwner
        238   ED 000027F0 SetSecurityDescriptorSacl
        239   EE 0000B410 SetServiceObjectSecurity
        240   EF 0000AE10 SetServiceStatus
        241   F0 00002FA0 SetThreadToken
        242   F1 00001B90 SetTokenInformation
        243   F2 0000B1B0 StartServiceA
        244   F3 00024050 StartServiceCtrlDispatcherA
        245   F4 00024190 StartServiceCtrlDispatcherW
        246   F5 0000AD60 StartServiceW
        247   F6 00004600 SynchronizeWindows31FilesAndWindowsNTRegistry
        248   F7 00025750 SystemFunction001
        249   F8 000257A0 SystemFunction002
        250   F9 000257F0 SystemFunction003
        251   FA 00026170 SystemFunction004
        252   FB 00026250 SystemFunction005
        253   FC 00026340 SystemFunction006
        254   FD 000263D0 SystemFunction007
        255   FE 00026C30 SystemFunction008
        256   FF 00026CB0 SystemFunction009
        257  100 00026CE0 SystemFunction010
        258  101 00026D30 SystemFunction011
        259  102 00027340 SystemFunction012
        260  103 00027380 SystemFunction013
        261  104 000273C0 SystemFunction014
        262  105 000273E0 SystemFunction015
        263  106 00027400 SystemFunction016
        264  107 00027430 SystemFunction017
        265  108 00027460 SystemFunction018
        266  109 00027480 SystemFunction019
        267  10A 000275B0 SystemFunction020
        268  10B 000275D0 SystemFunction021
        269  10C 000275F0 SystemFunction022
        270  10D 00027610 SystemFunction023
        271  10E 000274D0 SystemFunction024
        272  10F 00027520 SystemFunction025
        273  110 00027570 SystemFunction026
        274  111 00027590 SystemFunction027
        275  112 00026D50 SystemFunction028
        276  113 00027080 SystemFunction029
